#,BAL SIM,22 COL,22 TEX,19 SEA,17 CIN,MEAN,BOS,NYY,TOR,TB,DET,MIN,CWS,CLE,KC,LAA,ATH,HOU,SEA,TEX,WSH,ATL,NYM,PHI,MIA,CHC,MIL,STL,PIT,CIN,SF,LAD,SD,COL,ARI
132,-26,-20,-16,-20,-20,-20.4,40,0,14,-8,2,4,6,-12,-4,-2,-24,-16,38,2,-24,-30,4,14,12,32,36,-6,-30,16,2,22,16,-64,-14
135,-27,-21,-17,-21,-19,-21,39,1,15,-11,1,1,5,-9,-1,-1,-23,-15,37,3,-23,-33,3,15,11,31,35,-5,-29,15,3,21,17,-65,-11
138,-26,-20,-20,-22,-20,-21.6,40,2,14,-10,0,0,6,-8,0,0,-24,-12,36,4,-24,-34,4,14,12,30,38,-6,-30,12,4,22,14,-66,-12
141,-25,-19,-19,-25,-19,-21.4,39,1,15,-13,-1,1,5,-5,1,1,-25,-13,37,3,-25,-35,1,17,9,33,39,-3,-33,15,5,23,15,-67,-15
144,-26,-20,-18,-28,-20,-22.4,38,4,16,-12,0,4,2,-4,2,0,-26,-12,38,6,-26,-36,4,20,8,32,40,-4,-36,16,6,20,12,-70,-16
147,-29,-19,-21,-27,-21,-23.4,39,7,15,-13,1,3,1,-7,1,-1,-27,-9,35,5,-27,-35,5,19,9,33,43,-3,-35,17,7,23,13,-73,-17
150,-26,-22,-20,-26,-18,-22.4,40,4,16,-14,2,4,0,-6,2,-2,-28,-10,36,4,-24,-34,8,22,8,30,44,-2,-34,14,4,22,12,-74,-18
153,-27,-23,-21,-23,-21,-23,41,3,17,-15,-1,5,-3,-7,5,-3,-29,-11,39,3,-25,-37,9,23,9,33,47,-5,-33,15,7,21,13,-77,-17
156,-26,-26,-24,-24,-24,-24.8,40,2,18,-16,0,6,-4,-8,4,-4,-30,-10,38,2,-24,-40,10,24,12,32,48,-4,-34,16,4,24,14,-76,-18
159,-27,-27,-27,-27,-25,-26.6,41,3,17,-17,1,7,-5,-7,5,-5,-31,-7,35,-1,-23,-39,7,25,11,35,47,-3,-35,15,5,23,17,-77,-17
162,-26,-26,-26,-26,-26,-26,38,2,20,-18,2,8,-2,-6,4,-4,-34,-6,36,-2,-24,-42,8,28,12,34,48,-4,-34,14,4,24,16,-78,-18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,68,68,68,68,68,68,100,82,91,72,82,85,80,78,83,79,64,78,99,80,69,60,85,95,87,98,105,79,64,88,83,93,89,42,72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,68,100,82,91,72,82,85,80,78,83,79,64,78,99,80,69,60,85,95,87,98,105,79,64,88,83,93,89,42,72
