#,BAL,BOS,NYY,TOR,TB,DET,MIN,CWS,CLE,KC,LAA,ATH,HOU,SEA,TEX,WSH,ATL,NYM,PHI,MIA,CHC,MIL,STL,PIT,CIN,SF,LAD,SD,COL,ARI
27,-3,9,3,3,-1,3,1,3,3,-9,1,-13,1,-3,-3,-11,-3,3,3,3,3,11,-9,3,13,-3,5,3,-15,-1
30,0,10,0,2,2,0,0,2,4,-8,0,-14,0,0,-2,-10,0,6,4,0,2,14,-12,0,14,-6,8,0,-16,0
33,-1,9,3,5,3,1,-1,1,3,-5,-3,-15,1,3,-3,-13,1,3,1,-1,1,15,-11,-1,15,-3,9,1,-19,1
36,2,8,4,8,2,2,0,-2,2,-6,-2,-14,4,2,-2,-16,-2,4,2,-2,0,14,-10,-2,14,-4,8,2,-18,2
39,-1,7,5,5,3,1,-1,-1,1,-5,-3,-17,7,5,-1,-17,-5,3,3,1,1,17,-9,-5,15,-1,7,1,-19,3
42,2,10,4,6,2,2,-2,2,-2,-8,-2,-18,6,4,-2,-18,-6,2,4,0,2,18,-6,-8,16,0,8,2,-22,4
45,5,11,1,7,1,1,1,-1,-5,-7,-1,-19,5,5,-3,-17,-9,1,7,1,5,15,-3,-9,13,-1,11,3,-23,5
48,6,12,0,10,0,0,2,-2,-4,-8,0,-20,6,8,-6,-20,-8,0,8,2,4,16,-2,-10,12,-4,12,6,-24,4
51,5,9,-3,13,-1,3,1,-3,-3,-7,3,-23,7,9,-9,-21,-11,-3,7,1,5,19,1,-9,15,-3,11,5,-23,5
54,4,12,0,14,0,2,2,-6,0,-10,0,-22,6,8,-8,-20,-12,-6,10,-2,6,18,0,-8,16,-2,10,8,-24,4
57,3,13,3,11,-3,5,3,-7,-1,-13,-3,-21,7,9,-5,-19,-13,-3,11,-5,3,19,1,-9,15,1,9,11,-25,3
60,4,14,0,12,-2,4,4,-8,-2,-14,-4,-18,8,10,-4,-20,-12,-2,10,-6,4,18,2,-10,14,2,8,12,-26,2
63,3,11,1,13,-1,5,3,-9,1,-15,-5,-21,5,11,-5,-23,-13,-1,9,-7,7,19,1,-7,15,3,9,15,-27,3
66,2,8,0,12,-4,6,6,-8,0,-12,-4,-20,8,12,-2,-22,-12,-2,8,-4,4,16,-2,-8,14,6,10,14,-30,4
69,5,7,-1,13,-7,7,9,-7,-3,-13,-5,-23,9,13,-3,-23,-15,1,11,-3,7,17,-1,-9,15,3,9,15,-31,3
72,8,6,0,12,-8,6,12,-8,0,-14,-4,-22,10,10,-2,-24,-18,0,12,-2,4,18,-2,-6,16,0,8,16,-34,6
75,5,9,-3,15,-11,7,9,-11,3,-17,-1,-25,13,7,1,-27,-15,3,11,-1,7,21,-5,-3,17,-1,9,15,-35,3
78,6,10,-6,16,-10,8,6,-10,2,-20,0,-26,14,6,0,-24,-16,2,14,-2,10,20,-8,-4,18,-2,8,18,-34,4
81,5,13,-3,15,-9,9,5,-13,1,-17,-1,-29,15,5,1,-25,-15,3,11,-1,11,19,-5,-7,15,-3,9,19,-35,7
84,8,14,-4,16,-10,10,4,-12,0,-16,-2,-30,16,6,2,-26,-16,4,10,2,8,16,-6,-6,14,-2,10,20,-36,6
87,7,11,-1,19,-7,9,3,-11,3,-17,-5,-29,13,3,-1,-29,-17,7,9,3,11,17,-7,-5,15,-1,11,21,-37,5
90,6,12,-2,22,-6,10,2,-14,4,-18,-4,-30,16,4,2,-32,-16,8,6,2,10,18,-6,-6,14,-2,14,22,-40,4
93,3,11,-1,23,-7,9,3,-13,7,-17,-5,-33,15,5,5,-31,-17,7,7,-1,13,17,-7,-5,13,-1,15,21,-43,7
96,2,14,2,24,-6,8,0,-14,6,-16,-4,-32,14,8,2,-32,-16,6,4,-2,16,14,-4,-4,14,-2,14,22,-46,8
99,1,15,-1,27,-7,9,1,-17,7,-17,-3,-33,17,7,3,-33,-17,5,5,1,17,15,-5,-5,15,-1,15,21,-49,7
102,2,18,0,28,-8,12,0,-20,6,-18,-2,-36,16,4,6,-34,-16,2,8,0,14,16,-4,-6,16,-2,16,24,-52,10
105,1,19,1,29,-9,11,3,-19,7,-21,-1,-39,15,3,5,-35,-19,1,11,1,17,15,-3,-7,13,-1,19,25,-51,9
108,2,16,0,30,-12,12,2,-22,4,-20,0,-40,16,6,8,-36,-20,0,12,0,18,18,-4,-8,14,2,22,26,-52,6
111,-1,15,3,31,-9,13,-1,-23,3,-23,-3,-41,17,7,7,-39,-21,1,15,-1,19,21,-3,-5,17,5,19,27,-55,5
114,-2,16,2,30,-12,16,0,-24,4,-22,-2,-44,18,8,6,-38,-22,0,16,-2,18,22,-4,-4,16,6,22,26,-54,4
